F:\College\College\Year 4\Graduation Project\Dataset\10th\899152090.jpg,353,200,800,561,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899152090.jpg,100,355,547,716,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899309315.jpg,461,295,668,712,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899309315.jpg,296,476,741,846,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899336722.jpg,457,178,675,599,200Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899336722.jpg,232,355,587,1009,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899386782.jpg,168,90,720,774,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899386782.jpg,494,336,896,769,20Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899496640.jpg,180,153,780,824,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899496640.jpg,484,539,930,907,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899522539.jpg,241,52,924,525,200Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899522539.jpg,491,527,687,940,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899536120.jpg,402,61,704,506,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899536120.jpg,502,277,1036,963,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899808883.jpg,395,135,718,583,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899808883.jpg,133,339,580,663,20Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899833702.jpg,31,100,685,455,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899833702.jpg,291,379,975,853,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899860767.jpg,135,300,583,645,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899860767.jpg,385,157,832,470,100Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899886531.jpg,482,283,931,624,100Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\899886531.jpg,416,565,653,994,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900435451.jpg,555,274,958,707,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900435451.jpg,473,546,901,957,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900560126.jpg,88,494,482,932,100Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900560126.jpg,499,456,756,891,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900764827.jpg,190,462,489,907,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900764827.jpg,498,551,890,989,20Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900860235.jpg,311,356,631,997,100Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900888565.jpg,191,538,554,984,20Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900888565.jpg,400,574,1068,974,200Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900919524.jpg,246,323,904,946,100Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900919524.jpg,163,494,609,801,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900963117.jpg,292,544,957,933,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900963117.jpg,219,219,906,732,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900982311.jpg,106,133,783,714,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\900982311.jpg,601,593,810,1011,20Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901088802.jpg,293,257,681,922,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901088802.jpg,67,163,510,451,20Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901109576.jpg,157,139,782,796,200Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901109576.jpg,29,359,584,1042,200Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901127291.jpg,202,398,539,846,100Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901127291.jpg,612,470,894,912,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901398243.jpg,260,264,708,594,100Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901398243.jpg,220,601,635,803,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901398514.jpg,67,314,501,566,5Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901398514.jpg,103,38,785,602,20Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901583924.jpg,102,507,549,829,10Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901583924.jpg,488,360,926,753,50Egp
F:\College\College\Year 4\Graduation Project\Dataset\10th\901630716.jpg,437,511,1078,831,100Egp
